municipio,confirmados,recuperados,decesos
VACAS,4,2,0
ARQUE,2,0,2
CAPINOTA,37,1,3
SANTIVAÑES,27,19,1
SICAYA,4,4,0
CLIZA,15,3,2
TOCO,5,0,1
TOLATA,7,1,1
QUILLACOLLO,555,129,30
SIPE SIPE,107,71,6
TIQUIPAYA,142,33,6
VINTO,139,64,12
COLCAPIRHUA,111,16,12
SACABA,583,216,45
COLOMI,19,0,3
VILLA TUNARI,106,34,7
TAPACARI,12,1,2
TOTORA(CBBA),4,0,0
POJO (CBBA),2,2,0
POCONA,1,0,0
CHIMORE,125,90,11
PUERTO VILLARROEL,432,141,25
ENTRE RIOS CBBA,375,161,37
MIZQUE,12,6,2
VILA VILA,2,0,0
PUNATA,77,41,14
VILLA RIVERO,1,0,0
SAN BENITO,38,3,1
TACACHI,1,0,0
BOLIVAR,5,2,0
TIRAQUE (CBBA),5,1,0
SHINAOTA,181,75,4
ORURO,2120,338,126
CARACOLLO,12,1,10
SORACACHI,2,0,1
CHALLAPATA,62,3,3
SANTUARIO DE QUILLACAS,14,3,0
TURCO,3,0,0
HUACHACALLA,25,1,0
ESMERALDA,7,0,0
POOPO,7,0,1
ANTEQUERA,6,0,0
HUANUNI,330,64,25
MACHACAMARCA,7,3,1
SALINAS DE GARCI MENDOZA,7,0,0
SABAYA,6,2,1
COIPASA,1,0,0
TOLEDO,3,0,1
EUCALIPTUS,30,12,3
ANDAMARCA,1,0,0
TOTORA(ORR),1,0,0
SANTIAGO DE HUARI,8,0,4
CARANGAS,1,0,1
HUAYLLAMARCA,4,1,2
POTOSI,548,133,18
TINGUIPAYA,7,0,0
UNCIA,121,9,0
CHAYANTA,17,0,0
LLALLAGUA,433,30,12
CHUQUIHUTA AYLLU JUCUMANI,8,0,1
BETANZOS,37,1,2
COLQUECHACA,9,0,0
RAVELO,2,0,0
POCOATA,12,0,1
OCURI,12,0,0
SAN PEDRO DE BUENA VISTA,1,0,0
TORO TORO,3,0,0
COTAGAITA,3,0,0
VITICHI,3,0,0
SACACA,2,0,2
CARIPUYO,3,0,0
TUPIZA,1,0,0
ATOCHA,24,0,1
"COLCHA ""K""",30,10,1
PUNA,11,0,2
"CAIZA ""D""",12,0,1
UYUNI,39,4,6
TOMAVE,5,0,0
ACACIO,4,0,0
TAHUA,1,0,0
VILLAZON,41,5,2
SAN AGUSTIN,1,0,0
TARIJA,1755,169,53
PADCAYA,25,2,0
BERMEJO,102,0,3
YACUIBA,388,53,9
CARAPARI,77,14,0
VILLA MONTES,145,19,5
URIONDO (A. CONCEPCION),120,3,1
YUNCHARA,3,0,0
SAN LORENZO(TJA),104,3,2
EL PUENTE(TJA),35,3,2
ENTRE RIOS TRJ,71,12,1
SANTA CRUZ,21944,14230,698
COTOCA,535,50,7
PORONGO,133,25,0
LA GUARDIA,972,889,7
EL TORNO,558,123,28
WARNES,613,112,10
OKINAWA UNO,93,49,5
SAN IGNACIO DE VELASCO,234,12,22
BUENA VISTA,73,7,0
SAN CARLOS,193,16,0
YAPACANI,543,16,0
SAN JUAN DE YAPACANI,144,0,0
SAN JOSÉ DE CHIQUITOS,212,1,9
PAILON,299,20,2
ROBORÉ,144,5,1
PORTACHUELO,256,7,4
SANTA ROSA DEL SARA,167,8,0
COLPA BÉLGICA,133,15,8
LAGUNILLAS,4,0,0
CABEZAS,33,3,1
CAMIRI,100,13,3
VALLE GRANDE,68,37,4
TRIGAL,11,8,0
MORO MORO,23,20,0
SAMAIPATA,28,3,0
PAMPA GRANDE,27,0,1
MAIRANA,64,18,2
MONTERO,2703,592,81
GRAL. SAAVEDRA,72,26,2
MINEROS,135,44,5
FERNÁNDEZ ALONSO,167,61,1
SAN PEDRO,319,47,1
CONCEPCIÓN,134,7,4
SAN JAVIER,63,13,3
SAN JULIÁN,185,11,8
CUATRO CAÑADAS,140,17,7
PUERTO SUAREZ,71,1,0
PUERTO QUIJARRO,168,1,0
SAN ANTONIO DE LOMERÍO,34,0,1
EL PUENTE (SCZ),28,2,0
COMARAPA,51,0,0
CHARAGUA,9,0,1
QUIRUSILLAS,1,0,0
ASCENCIÓN DE GUARAYOS,64,10,0
SAN MATIAS,38,0,0
URUBICHA,29,14,0
GUTIERREZ,2,0,1
CARMEN RIVERO TORREZ,23,0,0
SAIPINA,14,0,0
SAN MIGUEL DE VELASCO,21,3,1
SAN RAFAEL,11,0,0
SAN RAMON,52,1,0
TRINIDAD,3528,185,193
SAN JAVIER(BNI),14,0,0
RIBERALTA,602,15,52
GUAYARAMERIN,459,0,29
REYES,1,0,0
SAN BORJA,92,1,3
SANTA ROSA,1,1,0
RURRENABAQUE,26,1,2
SANTA ANA,134,0,2
EXALTACION,8,0,0
SAN IGNACIO,73,6,1
LORETO,52,0,1
SAN ANDRES,87,0,0
SAN JOAQUIN,129,0,4
SAN RAMON BENI,83,0,2
COBIJA,1202,116,113
PORVENIR,36,0,1
BOLPEBRA,27,5,0
PUERTO RICO,6,0,1
FILADELFIA,20,14,1
PUERTO GONZALO MORENO,20,0,0
SAN LORENZO(PND),11,0,0
SENA,33,0,0
NACEBE (SANTA ROSA DEL ABUNA),9,0,1
BELLA FLOR,1,0,0
